YVR,YYC,6/29/2013
YVR,YLW,6/29/2013
YVR,YKA,6/29/2013
YVR,LAS,6/29/2013
YVR,YEG,6/29/2013
YVR,YYZ,6/29/2013
YVR,ORD,6/29/2013
YVR,ATL,6/29/2013
YVR,CLT,6/29/2013
YVR,BWI,6/29/2013
YVR,LAX,6/29/2013
YVR,FAT,6/29/2013
YVR,MEX,6/29/2013
YVR,YEG,6/29/2013
YVR,SEA,6/29/2013
YVR,LGB,6/29/2013
YVR,OAK,6/29/2013
YVR,SFO,6/29/2013
YVR,BUR,6/29/2013
YVR,GDL,6/29/2013
YVR,BOI,6/29/2013
YVR,YYC,6/30/2013
YVR,YLW,6/30/2013
YVR,YKA,6/30/2013
YVR,LAS,6/30/2013
YVR,YEG,6/30/2013
YVR,YYZ,6/30/2013
YVR,ORD,6/30/2013
YVR,ATL,6/30/2013
YVR,CLT,6/30/2013
YVR,BWI,6/30/2013
YVR,LAX,6/30/2013
YVR,FAT,6/30/2013
YVR,MEX,6/30/2013
YVR,YEG,6/30/2013
YVR,SEA,6/30/2013
YVR,LGB,6/30/2013
YVR,OAK,6/30/2013
YVR,SFO,6/30/2013
YVR,BUR,6/30/2013
YVR,GDL,6/30/2013
YVR,BOI,6/30/2013
